"","Invoice","InvoiceDate","InvoiceTotal","Country","CountryCount","CountryMean"
"47","489560",40148.5388888889,859.1,"United Kingdom",17612,421.005902963888
"48","489561",40148.5395833333,246.86,"United Kingdom",17612,421.005902963888
"49","489562",40148.5465277778,229.6,"United Kingdom",17612,421.005902963888
"50","489564",40148.5506944444,322.9,"United Kingdom",17612,421.005902963888
"51","489566",40148.5527777778,218.55,"United Kingdom",17612,421.005902963888
"52","489567",40148.5548611111,307.8,"United Kingdom",17612,421.005902963888
"53","489569",40148.5555555556,282.28,"United Kingdom",17612,421.005902963888
"54","489571",40148.5618055556,156.71,"United Kingdom",17612,421.005902963888
"55","489572",40148.5618055556,507.49,"United Kingdom",17612,421.005902963888
"56","489573",40148.5618055556,580.02,"United Kingdom",17612,421.005902963888
"57","489574",40148.5631944444,551.33,"United Kingdom",17612,421.005902963888
"58","489575",40148.5673611111,367.28,"United Kingdom",17612,421.005902963888
"59","489576",40148.5680555556,319.66,"United Kingdom",17612,421.005902963888
"60","489579",40148.5701388889,219.82,"United Kingdom",17612,421.005902963888
"61","489580",40148.5715277778,261,"United Kingdom",17612,421.005902963888
"62","489582",40148.5743055556,293.95,"United Kingdom",17612,421.005902963888
"63","489581",40148.5743055556,124.83,"United Kingdom",17612,421.005902963888
"64","489584",40148.575,21.95,"United Kingdom",17612,421.005902963888
"65","489585",40148.5756944444,105.85,"United Kingdom",17612,421.005902963888
"66","489586",40148.5763888889,263.42,"United Kingdom",17612,421.005902963888
"67","489590",40148.5930555556,362.78,"United Kingdom",17612,421.005902963888
"68","489593",40148.5965277778,423.87,"United Kingdom",17612,421.005902963888
"69","489594",40148.5965277778,322.33,"United Kingdom",17612,421.005902963888
"70","489598",40148.6076388889,822.37,"United Kingdom",17612,421.005902963888
"71","489606",40148.6166666667,2.1,"United Kingdom",17612,421.005902963888
"72","489611",40148.6201388889,2.95,"United Kingdom",17612,421.005902963888
"73","489613",40148.6222222222,12.75,"United Kingdom",17612,421.005902963888
"74","489617",40148.6243055556,198,"United Kingdom",17612,421.005902963888
"75","489634",40148.6381944444,17.4,"United Kingdom",17612,421.005902963888
"76","489635",40148.6430555556,352.85,"United Kingdom",17612,421.005902963888
"77","489637",40148.65,535.9,"United Kingdom",17612,421.005902963888
"78","489639",40148.6701388889,31.2,"United Kingdom",17612,421.005902963888
"79","489640",40148.6784722222,329.91,"United Kingdom",17612,421.005902963888
"80","489641",40148.6791666667,622.1,"United Kingdom",17612,421.005902963888
"81","489644",40148.6875,896.54,"United Kingdom",17612,421.005902963888
"82","489645",40148.6902777778,261.74,"United Kingdom",17612,421.005902963888
"83","489650",40148.6972222222,173.1,"United Kingdom",17612,421.005902963888
"84","489652",40148.7138888889,294.14,"United Kingdom",17612,421.005902963888
"85","489654",40148.7215277778,222.12,"United Kingdom",17612,421.005902963888
"86","489656",40148.7277777778,1237.3,"United Kingdom",17612,421.005902963888
"87","489657",40148.7277777778,55.2,"United Kingdom",17612,421.005902963888
"88","489658",40148.7298611111,828.09,"United Kingdom",17612,421.005902963888
"89","489661",40148.7395833333,23.48,"United Kingdom",17612,421.005902963888
"90","489662",40148.7430555556,73.75,"United Kingdom",17612,421.005902963888
"91","489664",40148.7520833333,374.43,"United Kingdom",17612,421.005902963888
"92","489665",40148.7548611111,252.3,"United Kingdom",17612,421.005902963888
"93","489666",40148.7590277778,263.09,"United Kingdom",17612,421.005902963888
"94","489667",40148.7743055556,538.46,"United Kingdom",17612,421.005902963888
"95","489668",40148.8048611111,378.12,"United Kingdom",17612,421.005902963888
"96","489669",40149.34375,397.2,"United Kingdom",17612,421.005902963888
"97","489670",40149.3444444444,114.6,"United Kingdom",17612,421.005902963888
"98","489671",40149.3736111111,740.3,"United Kingdom",17612,421.005902963888
"99","489672",40149.3895833333,772.65,"United Kingdom",17612,421.005902963888
"100","489673",40149.3909722222,61.1,"United Kingdom",17612,421.005902963888
"101","489674",40149.3993055556,261.3,"United Kingdom",17612,421.005902963888
"102","489675",40149.4076388889,4939.22,"United Kingdom",17612,421.005902963888
"103","489676",40149.4090277778,1210.8,"United Kingdom",17612,421.005902963888
"104","489677",40149.4097222222,192,"United Kingdom",17612,421.005902963888
"105","489678",40149.4145833333,189.3,"United Kingdom",17612,421.005902963888
"106","489679",40149.4166666667,795.98,"United Kingdom",17612,421.005902963888
"107","489681",40149.4180555556,89.59,"United Kingdom",17612,421.005902963888
"108","489680",40149.4180555556,45,"United Kingdom",17612,421.005902963888
"109","489682",40149.4222222222,125.73,"United Kingdom",17612,421.005902963888
"110","489683",40149.4229166667,1317.97,"United Kingdom",17612,421.005902963888
"111","489684",40149.4270833333,266.6,"United Kingdom",17612,421.005902963888
"112","489687",40149.4451388889,221.53,"United Kingdom",17612,421.005902963888
"113","489688",40149.4458333333,299.7,"United Kingdom",17612,421.005902963888
"114","489695",40149.45,306.95,"United Kingdom",17612,421.005902963888
"115","489699",40149.4520833333,401.7,"United Kingdom",17612,421.005902963888
"116","489705",40149.4527777778,17,"United Kingdom",17612,421.005902963888
"117","489702",40149.4527777778,3108.64,"United Kingdom",17612,421.005902963888
"118","489723",40149.4569444444,2052.12,"United Kingdom",17612,421.005902963888
"119","489726",40149.4631944444,750,"United Kingdom",17612,421.005902963888
"120","489725",40149.4631944444,216,"United Kingdom",17612,421.005902963888
"121","489727",40149.4645833333,900,"United Kingdom",17612,421.005902963888
"122","489728",40149.4708333333,180.45,"United Kingdom",17612,421.005902963888
"123","489733",40149.4722222222,168,"United Kingdom",17612,421.005902963888
"124","489743",40149.475,538.77,"United Kingdom",17612,421.005902963888
"125","489748",40149.4763888889,754.2,"United Kingdom",17612,421.005902963888
"126","489764",40149.4798611111,223.1,"United Kingdom",17612,421.005902963888
"127","489765",40149.48125,285.59,"United Kingdom",17612,421.005902963888
"128","489766",40149.4819444444,130.18,"United Kingdom",17612,421.005902963888
"129","489780",40149.4881944444,159.98,"United Kingdom",17612,421.005902963888
"130","489782",40149.4895833333,230.46,"United Kingdom",17612,421.005902963888
"131","489783",40149.4909722222,162.04,"United Kingdom",17612,421.005902963888
"132","489784",40149.4916666667,40.8,"United Kingdom",17612,421.005902963888
"133","489785",40149.49375,333.67,"United Kingdom",17612,421.005902963888
"134","489786",40149.4944444444,216.86,"United Kingdom",17612,421.005902963888
"135","489787",40149.4951388889,319.54,"United Kingdom",17612,421.005902963888
"136","489788",40149.4965277778,119.16,"United Kingdom",17612,421.005902963888
"137","489790",40149.4993055556,131.12,"United Kingdom",17612,421.005902963888
"138","489789",40149.4993055556,80.4,"United Kingdom",17612,421.005902963888
"139","489791",40149.5041666667,221.19,"United Kingdom",17612,421.005902963888
"140","489792",40149.5041666667,923.79,"United Kingdom",17612,421.005902963888
"141","489793",40149.50625,260.36,"United Kingdom",17612,421.005902963888
"142","489794",40149.5090277778,58.2,"United Kingdom",17612,421.005902963888
"143","489795",40149.5090277778,935.01,"United Kingdom",17612,421.005902963888
"144","489796",40149.5104166667,311.5,"United Kingdom",17612,421.005902963888
"145","489797",40149.5131944444,200.63,"United Kingdom",17612,421.005902963888
"146","489798",40149.5152777778,311.69,"United Kingdom",17612,421.005902963888
"147","489800",40149.5180555556,408.07,"United Kingdom",17612,421.005902963888
"148","489801",40149.5194444444,128.48,"United Kingdom",17612,421.005902963888
"149","489802",40149.5222222222,174.52,"United Kingdom",17612,421.005902963888
"150","489804",40149.5263888889,251.17,"United Kingdom",17612,421.005902963888
"151","489805",40149.5270833333,454.35,"United Kingdom",17612,421.005902963888
"152","489807",40149.5298611111,180.13,"United Kingdom",17612,421.005902963888
"153","489808",40149.5305555556,109.84,"United Kingdom",17612,421.005902963888
"154","489809",40149.5319444444,112.5,"United Kingdom",17612,421.005902963888
"155","489810",40149.5326388889,493.25,"United Kingdom",17612,421.005902963888
"156","489811",40149.5375,634.29,"United Kingdom",17612,421.005902963888
"157","489812",40149.5416666667,597.69,"United Kingdom",17612,421.005902963888
"158","489814",40149.5458333333,824.18,"United Kingdom",17612,421.005902963888
"159","489815",40149.5486111111,132.55,"United Kingdom",17612,421.005902963888
"160","489816",40149.5555555556,284.55,"United Kingdom",17612,421.005902963888
"161","489817",40149.5569444444,340.2,"United Kingdom",17612,421.005902963888
"162","489819",40149.5576388889,618.43,"United Kingdom",17612,421.005902963888
"163","489818",40149.5576388889,294.3,"United Kingdom",17612,421.005902963888
"164","489822",40149.5597222222,371.27,"United Kingdom",17612,421.005902963888
"165","489823",40149.5638888889,87.3,"United Kingdom",17612,421.005902963888
"166","489824",40149.5645833333,176.88,"United Kingdom",17612,421.005902963888
"167","489825",40149.5652777778,174.1,"United Kingdom",17612,421.005902963888
"168","489826",40149.56875,85.95,"United Kingdom",17612,421.005902963888
"169","489827",40149.5770833333,445.7,"United Kingdom",17612,421.005902963888
"170","489829",40149.5784722222,472.47,"United Kingdom",17612,421.005902963888
"171","489830",40149.58125,637.04,"United Kingdom",17612,421.005902963888
"172","489832",40149.5875,316.22,"United Kingdom",17612,421.005902963888
"173","489834",40149.5895833333,214.8,"United Kingdom",17612,421.005902963888
"174","489833",40149.5895833333,150.68,"United Kingdom",17612,421.005902963888
"175","489835",40149.59375,714,"United Kingdom",17612,421.005902963888
"176","489837",40149.5979166667,514.97,"United Kingdom",17612,421.005902963888
"177","489840",40149.5986111111,89.7,"United Kingdom",17612,421.005902963888
"178","489855",40149.6069444444,157.91,"United Kingdom",17612,421.005902963888
"179","489862",40149.6194444444,734.7,"United Kingdom",17612,421.005902963888
"180","489863",40149.6215277778,66.82,"United Kingdom",17612,421.005902963888
"181","489864",40149.6222222222,206.85,"United Kingdom",17612,421.005902963888
"182","489865",40149.6256944444,234.87,"United Kingdom",17612,421.005902963888
"183","489866",40149.6277777778,1003.83,"United Kingdom",17612,421.005902963888
"184","489868",40149.6319444444,675,"United Kingdom",17612,421.005902963888
"185","489869",40149.6354166667,39.98,"United Kingdom",17612,421.005902963888
"186","489870",40149.6361111111,162.1,"United Kingdom",17612,421.005902963888
"187","489871",40149.6368055556,735.7,"United Kingdom",17612,421.005902963888
"188","489872",40149.6444444444,632.9,"United Kingdom",17612,421.005902963888
"189","489873",40149.6451388889,10.2,"United Kingdom",17612,421.005902963888
"190","489874",40149.6513888889,176.6,"United Kingdom",17612,421.005902963888
"191","489875",40149.6534722222,530.76,"United Kingdom",17612,421.005902963888
"192","489877",40149.6555555556,368.1,"United Kingdom",17612,421.005902963888
"193","489876",40149.6555555556,39.85,"United Kingdom",17612,421.005902963888
"194","489878",40149.6604166667,143.11,"United Kingdom",17612,421.005902963888
"195","489879",40149.6680555556,163.47,"United Kingdom",17612,421.005902963888
"196","489880",40149.6791666667,380.28,"United Kingdom",17612,421.005902963888
"197","489883",40149.6833333333,578.28,"France",236,619.55686440678
"198","489884",40149.6833333333,3.61,"United Kingdom",17612,421.005902963888
"199","489888",40149.7006944444,597.4,"United Kingdom",17612,421.005902963888
"200","489889",40149.7027777778,4734.24,"Netherlands",135,1991.00740740741
"201","489890",40149.7034722222,976.8,"Netherlands",135,1991.00740740741
"202","489891",40149.7076388889,181.08,"United Kingdom",17612,421.005902963888
"203","489893",40149.7125,300.1,"United Kingdom",17612,421.005902963888
"204","489894",40149.7208333333,520.2,"United Kingdom",17612,421.005902963888
"205","489896",40150.33125,337.93,"United Kingdom",17612,421.005902963888
"206","489897",40150.3819444444,260.44,"United Kingdom",17612,421.005902963888
"207","489900",40150.4055555556,287.37,"United Kingdom",17612,421.005902963888
"208","489902",40150.4111111111,119.1,"United Kingdom",17612,421.005902963888
"209","489904",40150.4180555556,203.78,"United Kingdom",17612,421.005902963888
"210","489905",40150.41875,478.7,"United Kingdom",17612,421.005902963888
"211","489906",40150.4277777778,120,"United Kingdom",17612,421.005902963888
"212","489907",40150.4284722222,202.06,"United Kingdom",17612,421.005902963888
"213","489909",40150.4305555556,642.2,"United Kingdom",17612,421.005902963888
"214","489908",40150.4305555556,107.33,"United Kingdom",17612,421.005902963888
"215","489910",40150.4326388889,144,"United Kingdom",17612,421.005902963888
"216","489912",40150.4347222222,1146.1,"United Kingdom",17612,421.005902963888
"217","489913",40150.4361111111,69.6,"United Kingdom",17612,421.005902963888
"218","489914",40150.4361111111,993,"United Kingdom",17612,421.005902963888
"219","489915",40150.4423611111,54.6,"United Kingdom",17612,421.005902963888
"220","489916",40150.4423611111,336,"United Kingdom",17612,421.005902963888
"221","489932",40150.4506944444,82.6,"United Kingdom",17612,421.005902963888
"222","489935",40150.4520833333,181.65,"United Kingdom",17612,421.005902963888
"223","489994",40150.4645833333,430.9,"United Kingdom",17612,421.005902963888
"224","489996",40150.4652777778,320.4,"United Kingdom",17612,421.005902963888
"225","489998",40150.4715277778,321.65,"United Kingdom",17612,421.005902963888
"226","489999",40150.4756944444,154.2,"United Kingdom",17612,421.005902963888
"227","490000",40150.4819444444,143.06,"United Kingdom",17612,421.005902963888
"228","490001",40150.4895833333,169.5,"United Kingdom",17612,421.005902963888
"229","490002",40150.4902777778,114.55,"United Kingdom",17612,421.005902963888
"230","490003",40150.49375,317.55,"United Kingdom",17612,421.005902963888
"231","490004",40150.4951388889,912.56,"United Kingdom",17612,421.005902963888
"232","490005",40150.4979166667,556.75,"United Kingdom",17612,421.005902963888
"233","490006",40150.5013888889,344.4,"United Kingdom",17612,421.005902963888
"234","490008",40150.5069444444,503.93,"United Kingdom",17612,421.005902963888
"235","490009",40150.5090277778,285.09,"United Kingdom",17612,421.005902963888
"236","490010",40150.5104166667,1008,"United Kingdom",17612,421.005902963888
"237","490012",40150.51875,763.35,"United Kingdom",17612,421.005902963888
"238","490013",40150.51875,500.55,"United Kingdom",17612,421.005902963888
"239","490011",40150.51875,221.69,"United Kingdom",17612,421.005902963888
"240","490014",40150.5194444444,744.21,"United Kingdom",17612,421.005902963888
"241","490017",40150.5215277778,393.65,"United Kingdom",17612,421.005902963888
"242","490018",40150.5215277778,4380,"United Kingdom",17612,421.005902963888
"243","490019",40150.5236111111,308.6,"United Kingdom",17612,421.005902963888
"244","490021",40150.525,10.2,"United Kingdom",17612,421.005902963888
"245","490020",40150.525,37.8,"United Kingdom",17612,421.005902963888
"246","490022",40150.5256944444,45.6,"United Kingdom",17612,421.005902963888
"247","490023",40150.5263888889,189.15,"United Kingdom",17612,421.005902963888
"248","490024",40150.5277777778,215,"United Kingdom",17612,421.005902963888
"249","490034",40150.53125,69.82,"United Kingdom",17612,421.005902963888
"250","490045",40150.5347222222,180.39,"United Kingdom",17612,421.005902963888
"251","490047",40150.5430555556,263.85,"United Kingdom",17612,421.005902963888
"252","490046",40150.5430555556,228.3,"United Kingdom",17612,421.005902963888
"253","490048",40150.54375,1146.71,"United Kingdom",17612,421.005902963888
"254","490049",40150.5444444444,102,"United Kingdom",17612,421.005902963888
"255","490050",40150.5451388889,13.5,"United Kingdom",17612,421.005902963888
"256","490052",40150.5479166667,831,"United Kingdom",17612,421.005902963888
"257","490053",40150.5534722222,119.54,"United Kingdom",17612,421.005902963888
"258","490054",40150.5569444444,277.5,"United Kingdom",17612,421.005902963888
"259","490056",40150.5590277778,61.12,"United Kingdom",17612,421.005902963888
"260","490057",40150.5590277778,360.52,"United Kingdom",17612,421.005902963888
"261","490058",40150.5597222222,47.85,"United Kingdom",17612,421.005902963888
"262","490059",40150.5625,14475,"United Kingdom",17612,421.005902963888
"263","490060",40150.5638888889,314.22,"United Kingdom",17612,421.005902963888
"264","490061",40150.5708333333,4000,"United Kingdom",17612,421.005902963888
"265","490062",40150.5736111111,165.3,"United Kingdom",17612,421.005902963888
"266","490063",40150.5756944444,210.39,"United Kingdom",17612,421.005902963888
"267","490064",40150.5770833333,355.59,"United Kingdom",17612,421.005902963888
"268","490065",40150.5819444444,1260,"United Kingdom",17612,421.005902963888
"269","490066",40150.5833333333,372.2,"United Kingdom",17612,421.005902963888
"270","490067",40150.5847222222,952.61,"United Kingdom",17612,421.005902963888
"271","490068",40150.5875,284.3,"United Kingdom",17612,421.005902963888
"272","490069",40150.5881944444,161.4,"United Kingdom",17612,421.005902963888
"273","490070",40150.5881944444,236.25,"United Kingdom",17612,421.005902963888
"274","490071",40150.5909722222,294.85,"United Kingdom",17612,421.005902963888
"275","490072",40150.6027777778,194.65,"United Kingdom",17612,421.005902963888
"276","490073",40150.6083333333,258.1,"United Kingdom",17612,421.005902963888
"277","490075",40150.6125,381,"United Kingdom",17612,421.005902963888
"278","490077",40150.63125,115.51,"United Kingdom",17612,421.005902963888
"279","490078",40150.63125,584.35,"United Kingdom",17612,421.005902963888
"280","490079",40150.6354166667,160.35,"United Kingdom",17612,421.005902963888
"281","490080",40150.6388888889,311.7,"United Kingdom",17612,421.005902963888
"282","490081",40150.6472222222,723.09,"United Kingdom",17612,421.005902963888
"283","490082",40150.6486111111,337.9,"United Kingdom",17612,421.005902963888
"284","490083",40150.6493055556,2506.14,"United Kingdom",17612,421.005902963888
"285","490085",40150.6548611111,170.06,"United Kingdom",17612,421.005902963888
"286","490086",40150.6583333333,799.2,"United Kingdom",17612,421.005902963888
"287","490087",40150.6590277778,898.18,"United Kingdom",17612,421.005902963888
"288","490088",40150.6597222222,17,"United Kingdom",17612,421.005902963888
"289","490089",40150.6611111111,466.2,"United Kingdom",17612,421.005902963888
"290","490090",40150.6618055556,45.55,"United Kingdom",17612,421.005902963888
"291","490092",40150.6625,510.87,"United Kingdom",17612,421.005902963888
"292","490091",40150.6625,636,"United Kingdom",17612,421.005902963888
"293","490094",40150.6638888889,851.76,"United Kingdom",17612,421.005902963888
"294","490093",40150.6638888889,1794.7,"United Kingdom",17612,421.005902963888
"295","490095",40150.6680555556,186.36,"United Kingdom",17612,421.005902963888
"296","490097",40150.6729166667,279.42,"United Kingdom",17612,421.005902963888
"297","490099",40150.675,1225.98,"United Kingdom",17612,421.005902963888
"298","490100",40150.68125,869.93,"United Kingdom",17612,421.005902963888
"299","490101",40150.6833333333,338.5,"United Kingdom",17612,421.005902963888
"300","490106",40150.6944444444,314.37,"United Kingdom",17612,421.005902963888
"301","490107",40150.6993055556,110.7,"United Kingdom",17612,421.005902963888
"302","490108",40150.7006944444,239.68,"United Kingdom",17612,421.005902963888
"303","490109",40150.7020833333,415,"United Kingdom",17612,421.005902963888
"304","490110",40150.7027777778,30.15,"United Kingdom",17612,421.005902963888
"305","490111",40150.7041666667,321.21,"United Kingdom",17612,421.005902963888
"306","490112",40150.7111111111,313.19,"United Kingdom",17612,421.005902963888
"307","490113",40150.7166666667,39.2,"United Kingdom",17612,421.005902963888
"308","490114",40150.7284722222,257.62,"United Kingdom",17612,421.005902963888
"309","490115",40150.7305555556,342.6,"United Kingdom",17612,421.005902963888
"310","490116",40150.73125,122.4,"United Kingdom",17612,421.005902963888
"311","490118",40150.7402777778,317.04,"United Kingdom",17612,421.005902963888
"312","490119",40150.7416666667,108.75,"United Kingdom",17612,421.005902963888
"313","490121",40150.7479166667,112.03,"United Kingdom",17612,421.005902963888
"314","490124",40150.7555555556,319.87,"United Kingdom",17612,421.005902963888
"315","490125",40150.7576388889,297.05,"United Kingdom",17612,421.005902963888
"316","490127",40150.7590277778,569.18,"EIRE",316,1126.85193037975
"317","490128",40150.7659722222,241.8,"United Kingdom",17612,421.005902963888
"318","490132",40150.7708333333,197.3,"United Kingdom",17612,421.005902963888
"319","490134",40150.7784722222,151.65,"United Kingdom",17612,421.005902963888
"320","490135",40150.7854166667,387.87,"United Kingdom",17612,421.005902963888
"321","490136",40150.8006944444,174.85,"United Kingdom",17612,421.005902963888
"322","490137",40150.8069444444,160.69,"United Kingdom",17612,421.005902963888
"323","490138",40150.8076388889,339.78,"United Kingdom",17612,421.005902963888
"324","490139",40150.8131944444,210.55,"France",236,619.55686440678
"325","490140",40150.8354166667,407.22,"United Kingdom",17612,421.005902963888
"326","490141",40151.35,308.75,"United Kingdom",17612,421.005902963888
"327","490142",40151.3583333333,1261,"United Kingdom",17612,421.005902963888
"328","490143",40151.3611111111,1610.52,"United Kingdom",17612,421.005902963888
"329","490144",40151.3652777778,337.1,"United Kingdom",17612,421.005902963888
"330","490147",40151.3965277778,510.64,"United Kingdom",17612,421.005902963888
"331","490151",40151.4090277778,160.39,"United Kingdom",17612,421.005902963888
"332","490152",40151.4166666667,682.65,"France",236,619.55686440678
"333","490154",40151.4291666667,290.48,"United Kingdom",17612,421.005902963888
"334","490156",40151.4388888889,455.36,"United Kingdom",17612,421.005902963888
"335","490157",40151.44375,138,"United Kingdom",17612,421.005902963888
"336","490158",40151.4493055556,508.26,"Netherlands",135,1991.00740740741
"337","490159",40151.45,19.5,"United Kingdom",17612,421.005902963888
"338","490160",40151.4527777778,244.8,"United Kingdom",17612,421.005902963888
"339","490161",40151.45625,825.94,"United Kingdom",17612,421.005902963888
"340","490162",40151.4631944444,280.2,"United Kingdom",17612,421.005902963888
"341","490163",40151.4736111111,141.63,"United Kingdom",17612,421.005902963888
"342","490164",40151.4805555556,1058.4,"United Kingdom",17612,421.005902963888
"343","490166",40151.4805555556,371.85,"United Kingdom",17612,421.005902963888
"344","490167",40151.4833333333,312.21,"United Kingdom",17612,421.005902963888
"345","490171",40151.4958333333,29.28,"United Kingdom",17612,421.005902963888
"346","490202",40151.5020833333,410,"United Kingdom",17612,421.005902963888
"347","490209",40151.5041666667,908.04,"United Kingdom",17612,421.005902963888
"348","490212",40151.5048611111,108.95,"United Kingdom",17612,421.005902963888
"349","490214",40151.5076388889,319.15,"United Kingdom",17612,421.005902963888
"350","490218",40151.5083333333,67.68,"United Kingdom",17612,421.005902963888
"351","490219",40151.5097222222,155.65,"United Kingdom",17612,421.005902963888
"352","490229",40151.5138888889,1185.16,"United Kingdom",17612,421.005902963888
"353","490247",40151.5194444444,351.3,"United Kingdom",17612,421.005902963888
"354","490258",40151.5215277778,20.4,"United Kingdom",17612,421.005902963888
"355","490266",40151.5229166667,231.2,"United Kingdom",17612,421.005902963888
"356","490272",40151.525,521.38,"United Kingdom",17612,421.005902963888
"357","490277",40151.5256944444,1077.6,"United Kingdom",17612,421.005902963888
"358","490279",40151.5256944444,317.83,"United Kingdom",17612,421.005902963888
"359","490281",40151.5256944444,311.2,"United Kingdom",17612,421.005902963888
"360","490282",40151.5284722222,107.95,"United Kingdom",17612,421.005902963888
"361","490284",40151.5375,439.46,"United Kingdom",17612,421.005902963888
"362","490286",40151.5409722222,762.1,"United Kingdom",17612,421.005902963888
"363","490285",40151.5409722222,373.74,"United Kingdom",17612,421.005902963888
"364","490287",40151.5416666667,367.1,"United Kingdom",17612,421.005902963888
"365","490288",40151.5416666667,332.16,"United Kingdom",17612,421.005902963888
"366","490289",40151.5423611111,273.75,"United Kingdom",17612,421.005902963888
"367","490290",40151.55625,164.03,"United Kingdom",17612,421.005902963888
"368","490291",40151.5569444444,424.03,"United Kingdom",17612,421.005902963888
"369","490292",40151.5576388889,460.55,"United Kingdom",17612,421.005902963888
"370","490293",40151.5631944444,137.4,"United Kingdom",17612,421.005902963888
"371","490294",40151.5701388889,378.96,"United Kingdom",17612,421.005902963888
"372","490295",40151.5743055556,435.88,"Spain",66,721.233636363636
"373","490297",40151.5826388889,694.2,"United Kingdom",17612,421.005902963888
"374","490298",40151.5923611111,1523.2,"United Kingdom",17612,421.005902963888
"375","490299",40151.5930555556,621.22,"United Kingdom",17612,421.005902963888
"376","490300",40151.5965277778,260.64,"United Kingdom",17612,421.005902963888
"377","490301",40151.6,345.27,"United Kingdom",17612,421.005902963888
"378","490302",40151.6034722222,303.62,"United Kingdom",17612,421.005902963888
"379","490303",40151.60625,106.25,"United Kingdom",17612,421.005902963888
"380","490304",40151.6076388889,843.01,"United Kingdom",17612,421.005902963888
"381","490305",40151.6090277778,726.57,"United Kingdom",17612,421.005902963888
"382","490308",40151.6194444444,194.53,"United Kingdom",17612,421.005902963888
"383","490310",40151.6222222222,231.9,"United Kingdom",17612,421.005902963888
"384","490311",40151.6326388889,307.65,"United Kingdom",17612,421.005902963888
"385","490312",40151.6361111111,326.13,"United Kingdom",17612,421.005902963888
"386","490313",40151.6375,137.95,"United Kingdom",17612,421.005902963888
"387","490320",40151.6430555556,867.89,"United Kingdom",17612,421.005902963888
"388","490323",40151.64375,236.69,"United Kingdom",17612,421.005902963888
"389","490324",40151.64375,672,"United Kingdom",17612,421.005902963888
"390","490326",40151.6444444444,149.1,"United Kingdom",17612,421.005902963888
"391","490327",40151.6451388889,990,"United Kingdom",17612,421.005902963888
"392","490331",40151.6458333333,298.99,"United Kingdom",17612,421.005902963888
