"","Invoice","InvoiceDate","InvoiceTotal","Country"
"108","489678",40149.4145833333,189.3,"United Kingdom"
"109","489679",40149.4166666667,795.98,"United Kingdom"
"110","489681",40149.4180555556,89.59,"United Kingdom"
"111","489680",40149.4180555556,45,"United Kingdom"
"112","489682",40149.4222222222,125.73,"United Kingdom"
"113","489683",40149.4229166667,1317.97,"United Kingdom"
"114","489684",40149.4270833333,266.6,"United Kingdom"
"115","489687",40149.4451388889,221.53,"United Kingdom"
"116","489688",40149.4458333333,299.7,"United Kingdom"
"117","489695",40149.45,306.95,"United Kingdom"
"118","489699",40149.4520833333,401.7,"United Kingdom"
"119","489705",40149.4527777778,17,"United Kingdom"
"120","489702",40149.4527777778,3108.64,"United Kingdom"
"121","489723",40149.4569444444,2052.12,"United Kingdom"
"122","489726",40149.4631944444,750,"United Kingdom"
"123","489725",40149.4631944444,216,"United Kingdom"
"124","489727",40149.4645833333,900,"United Kingdom"
"125","489728",40149.4708333333,180.45,"United Kingdom"
"126","489733",40149.4722222222,168,"United Kingdom"
"127","489743",40149.475,538.77,"United Kingdom"
"128","489748",40149.4763888889,754.2,"United Kingdom"
"129","489764",40149.4798611111,223.1,"United Kingdom"
"130","489765",40149.48125,285.59,"United Kingdom"
"131","489766",40149.4819444444,130.18,"United Kingdom"
"132","489780",40149.4881944444,159.98,"United Kingdom"
"133","489782",40149.4895833333,230.46,"United Kingdom"
"134","489783",40149.4909722222,162.04,"United Kingdom"
"135","489784",40149.4916666667,40.8,"United Kingdom"
"136","489785",40149.49375,333.67,"United Kingdom"
"137","489786",40149.4944444444,216.86,"United Kingdom"
"138","489787",40149.4951388889,319.54,"United Kingdom"
"139","489788",40149.4965277778,119.16,"United Kingdom"
"140","489790",40149.4993055556,131.12,"United Kingdom"
"141","489789",40149.4993055556,80.4,"United Kingdom"
"142","489791",40149.5041666667,221.19,"United Kingdom"
"143","489792",40149.5041666667,923.79,"United Kingdom"
"144","489793",40149.50625,260.36,"United Kingdom"
"145","489794",40149.5090277778,58.2,"United Kingdom"
"146","489795",40149.5090277778,935.01,"United Kingdom"
"147","489796",40149.5104166667,311.5,"United Kingdom"
"148","489797",40149.5131944444,200.63,"United Kingdom"
"149","489798",40149.5152777778,311.69,"United Kingdom"
"150","489800",40149.5180555556,408.07,"United Kingdom"
"151","489801",40149.5194444444,128.48,"United Kingdom"
"152","489802",40149.5222222222,174.52,"United Kingdom"
"153","489804",40149.5263888889,251.17,"United Kingdom"
"154","489805",40149.5270833333,454.35,"United Kingdom"
"155","489807",40149.5298611111,180.13,"United Kingdom"
"156","489808",40149.5305555556,109.84,"United Kingdom"
"157","489809",40149.5319444444,112.5,"United Kingdom"
"158","489810",40149.5326388889,493.25,"United Kingdom"
"159","489811",40149.5375,634.29,"United Kingdom"
"160","489812",40149.5416666667,597.69,"United Kingdom"
"161","489814",40149.5458333333,824.18,"United Kingdom"
"162","489815",40149.5486111111,132.55,"United Kingdom"
"163","489816",40149.5555555556,284.55,"United Kingdom"
"164","489817",40149.5569444444,340.2,"United Kingdom"
"165","489819",40149.5576388889,618.43,"United Kingdom"
"166","489818",40149.5576388889,294.3,"United Kingdom"
"167","489822",40149.5597222222,371.27,"United Kingdom"
"168","489823",40149.5638888889,87.3,"United Kingdom"
"169","489824",40149.5645833333,176.88,"United Kingdom"
"170","489825",40149.5652777778,174.1,"United Kingdom"
"171","489826",40149.56875,85.95,"United Kingdom"
"172","489827",40149.5770833333,445.7,"United Kingdom"
"173","489829",40149.5784722222,472.47,"United Kingdom"
"174","489830",40149.58125,637.04,"United Kingdom"
"175","489831",40149.5819444444,1008,"Denmark"
"176","489832",40149.5875,316.22,"United Kingdom"
"177","489834",40149.5895833333,214.8,"United Kingdom"
"178","489833",40149.5895833333,150.68,"United Kingdom"
"179","489835",40149.59375,714,"United Kingdom"
"180","489837",40149.5979166667,514.97,"United Kingdom"
"181","489840",40149.5986111111,89.7,"United Kingdom"
"182","489855",40149.6069444444,157.91,"United Kingdom"
"183","489862",40149.6194444444,734.7,"United Kingdom"
"184","489863",40149.6215277778,66.82,"United Kingdom"
"185","489864",40149.6222222222,206.85,"United Kingdom"
"186","489865",40149.6256944444,234.87,"United Kingdom"
"187","489866",40149.6277777778,1003.83,"United Kingdom"
"188","489868",40149.6319444444,675,"United Kingdom"
"189","489869",40149.6354166667,39.98,"United Kingdom"
"190","489870",40149.6361111111,162.1,"United Kingdom"
"191","489871",40149.6368055556,735.7,"United Kingdom"
"192","489872",40149.6444444444,632.9,"United Kingdom"
"193","489873",40149.6451388889,10.2,"United Kingdom"
"194","489874",40149.6513888889,176.6,"United Kingdom"
"195","489875",40149.6534722222,530.76,"United Kingdom"
"196","489877",40149.6555555556,368.1,"United Kingdom"
"197","489876",40149.6555555556,39.85,"United Kingdom"
"198","489878",40149.6604166667,143.11,"United Kingdom"
"199","489879",40149.6680555556,163.47,"United Kingdom"
"200","489880",40149.6791666667,380.28,"United Kingdom"
"201","489883",40149.6833333333,578.28,"France"
"202","489884",40149.6833333333,3.61,"United Kingdom"
"203","489888",40149.7006944444,597.4,"United Kingdom"
"204","489889",40149.7027777778,4734.24,"Netherlands"
"205","489890",40149.7034722222,976.8,"Netherlands"
"206","489891",40149.7076388889,181.08,"United Kingdom"
"207","489893",40149.7125,300.1,"United Kingdom"
"208","489894",40149.7208333333,520.2,"United Kingdom"
"209","489895",40150.3090277778,371.82,"Poland"
"210","489896",40150.33125,337.93,"United Kingdom"
"211","489897",40150.3819444444,260.44,"United Kingdom"
"212","489900",40150.4055555556,287.37,"United Kingdom"
"213","489902",40150.4111111111,119.1,"United Kingdom"
"214","489904",40150.4180555556,203.78,"United Kingdom"
"215","489905",40150.41875,478.7,"United Kingdom"
"216","489906",40150.4277777778,120,"United Kingdom"
"217","489907",40150.4284722222,202.06,"United Kingdom"
"218","489909",40150.4305555556,642.2,"United Kingdom"
"219","489908",40150.4305555556,107.33,"United Kingdom"
"220","489910",40150.4326388889,144,"United Kingdom"
"221","489912",40150.4347222222,1146.1,"United Kingdom"
"222","489913",40150.4361111111,69.6,"United Kingdom"
"223","489914",40150.4361111111,993,"United Kingdom"
"224","489915",40150.4423611111,54.6,"United Kingdom"
"225","489916",40150.4423611111,336,"United Kingdom"
"226","489932",40150.4506944444,82.6,"United Kingdom"
"227","489935",40150.4520833333,181.65,"United Kingdom"
"228","489994",40150.4645833333,430.9,"United Kingdom"
"229","489996",40150.4652777778,320.4,"United Kingdom"
"230","489998",40150.4715277778,321.65,"United Kingdom"
"231","489999",40150.4756944444,154.2,"United Kingdom"
"232","490000",40150.4819444444,143.06,"United Kingdom"
"233","490001",40150.4895833333,169.5,"United Kingdom"
"234","490002",40150.4902777778,114.55,"United Kingdom"
"235","490003",40150.49375,317.55,"United Kingdom"
"236","490004",40150.4951388889,912.56,"United Kingdom"
"237","490005",40150.4979166667,556.75,"United Kingdom"
"238","490006",40150.5013888889,344.4,"United Kingdom"
"239","490008",40150.5069444444,503.93,"United Kingdom"
"240","490009",40150.5090277778,285.09,"United Kingdom"
"241","490010",40150.5104166667,1008,"United Kingdom"
"242","490012",40150.51875,763.35,"United Kingdom"
"243","490013",40150.51875,500.55,"United Kingdom"
"244","490011",40150.51875,221.69,"United Kingdom"
"245","490014",40150.5194444444,744.21,"United Kingdom"
"246","490017",40150.5215277778,393.65,"United Kingdom"
"247","490018",40150.5215277778,4380,"United Kingdom"
"248","490019",40150.5236111111,308.6,"United Kingdom"
"249","490021",40150.525,10.2,"United Kingdom"
"250","490020",40150.525,37.8,"United Kingdom"
"251","490022",40150.5256944444,45.6,"United Kingdom"
"252","490023",40150.5263888889,189.15,"United Kingdom"
"253","490024",40150.5277777778,215,"United Kingdom"
"254","490034",40150.53125,69.82,"United Kingdom"
"255","490045",40150.5347222222,180.39,"United Kingdom"
"256","490047",40150.5430555556,263.85,"United Kingdom"
"257","490046",40150.5430555556,228.3,"United Kingdom"
"258","490048",40150.54375,1146.71,"United Kingdom"
"259","490049",40150.5444444444,102,"United Kingdom"
"260","490050",40150.5451388889,13.5,"United Kingdom"
"261","490052",40150.5479166667,831,"United Kingdom"
"262","490053",40150.5534722222,119.54,"United Kingdom"
"263","490054",40150.5569444444,277.5,"United Kingdom"
"264","490056",40150.5590277778,61.12,"United Kingdom"
"265","490057",40150.5590277778,360.52,"United Kingdom"
"266","490058",40150.5597222222,47.85,"United Kingdom"
"267","490059",40150.5625,14475,"United Kingdom"
"268","490060",40150.5638888889,314.22,"United Kingdom"
"269","490061",40150.5708333333,4000,"United Kingdom"
"270","490062",40150.5736111111,165.3,"United Kingdom"
"271","490063",40150.5756944444,210.39,"United Kingdom"
"272","490064",40150.5770833333,355.59,"United Kingdom"
"273","490065",40150.5819444444,1260,"United Kingdom"
"274","490066",40150.5833333333,372.2,"United Kingdom"
"275","490067",40150.5847222222,952.61,"United Kingdom"
"276","490068",40150.5875,284.3,"United Kingdom"
"277","490069",40150.5881944444,161.4,"United Kingdom"
"278","490070",40150.5881944444,236.25,"United Kingdom"
"279","490071",40150.5909722222,294.85,"United Kingdom"
"280","490072",40150.6027777778,194.65,"United Kingdom"
"281","490073",40150.6083333333,258.1,"United Kingdom"
"282","490075",40150.6125,381,"United Kingdom"
"283","490077",40150.63125,115.51,"United Kingdom"
"284","490078",40150.63125,584.35,"United Kingdom"
"285","490079",40150.6354166667,160.35,"United Kingdom"
"286","490080",40150.6388888889,311.7,"United Kingdom"
"287","490081",40150.6472222222,723.09,"United Kingdom"
"288","490082",40150.6486111111,337.9,"United Kingdom"
"289","490083",40150.6493055556,2506.14,"United Kingdom"
"290","490085",40150.6548611111,170.06,"United Kingdom"
"291","490086",40150.6583333333,799.2,"United Kingdom"
"292","490087",40150.6590277778,898.18,"United Kingdom"
"293","490088",40150.6597222222,17,"United Kingdom"
"294","490089",40150.6611111111,466.2,"United Kingdom"
"295","490090",40150.6618055556,45.55,"United Kingdom"
"296","490092",40150.6625,510.87,"United Kingdom"
"297","490091",40150.6625,636,"United Kingdom"
"298","490094",40150.6638888889,851.76,"United Kingdom"
"299","490093",40150.6638888889,1794.7,"United Kingdom"
"300","490095",40150.6680555556,186.36,"United Kingdom"
"301","490097",40150.6729166667,279.42,"United Kingdom"
"302","490099",40150.675,1225.98,"United Kingdom"
"303","490100",40150.68125,869.93,"United Kingdom"
"304","490101",40150.6833333333,338.5,"United Kingdom"
"305","490106",40150.6944444444,314.37,"United Kingdom"
"306","490107",40150.6993055556,110.7,"United Kingdom"
"307","490108",40150.7006944444,239.68,"United Kingdom"
"308","490109",40150.7020833333,415,"United Kingdom"
"309","490110",40150.7027777778,30.15,"United Kingdom"
"310","490111",40150.7041666667,321.21,"United Kingdom"
"311","490112",40150.7111111111,313.19,"United Kingdom"
"312","490113",40150.7166666667,39.2,"United Kingdom"
"313","490114",40150.7284722222,257.62,"United Kingdom"
"314","490115",40150.7305555556,342.6,"United Kingdom"
"315","490116",40150.73125,122.4,"United Kingdom"
"316","490118",40150.7402777778,317.04,"United Kingdom"
"317","490119",40150.7416666667,108.75,"United Kingdom"
"318","490121",40150.7479166667,112.03,"United Kingdom"
"319","490124",40150.7555555556,319.87,"United Kingdom"
"320","490125",40150.7576388889,297.05,"United Kingdom"
"321","490127",40150.7590277778,569.18,"EIRE"
"322","490128",40150.7659722222,241.8,"United Kingdom"
"323","490132",40150.7708333333,197.3,"United Kingdom"
"324","490134",40150.7784722222,151.65,"United Kingdom"
"325","490135",40150.7854166667,387.87,"United Kingdom"
"326","490136",40150.8006944444,174.85,"United Kingdom"
"327","490137",40150.8069444444,160.69,"United Kingdom"
"328","490138",40150.8076388889,339.78,"United Kingdom"
"329","490139",40150.8131944444,210.55,"France"
"330","490140",40150.8354166667,407.22,"United Kingdom"
"331","490141",40151.35,308.75,"United Kingdom"
"332","490142",40151.3583333333,1261,"United Kingdom"
"333","490143",40151.3611111111,1610.52,"United Kingdom"
"334","490144",40151.3652777778,337.1,"United Kingdom"
"335","490145",40151.39375,989.18,"Channel Islands"
"336","490147",40151.3965277778,510.64,"United Kingdom"
"337","490151",40151.4090277778,160.39,"United Kingdom"
"338","490152",40151.4166666667,682.65,"France"
"339","490154",40151.4291666667,290.48,"United Kingdom"
"340","490156",40151.4388888889,455.36,"United Kingdom"
"341","490157",40151.44375,138,"United Kingdom"
"342","490158",40151.4493055556,508.26,"Netherlands"
"343","490159",40151.45,19.5,"United Kingdom"
"344","490160",40151.4527777778,244.8,"United Kingdom"
"345","490161",40151.45625,825.94,"United Kingdom"
"346","490162",40151.4631944444,280.2,"United Kingdom"
"347","490163",40151.4736111111,141.63,"United Kingdom"
"348","490164",40151.4805555556,1058.4,"United Kingdom"
"349","490166",40151.4805555556,371.85,"United Kingdom"
"350","490167",40151.4833333333,312.21,"United Kingdom"
"351","490171",40151.4958333333,29.28,"United Kingdom"
"352","490202",40151.5020833333,410,"United Kingdom"
"353","490209",40151.5041666667,908.04,"United Kingdom"
"354","490212",40151.5048611111,108.95,"United Kingdom"
"355","490214",40151.5076388889,319.15,"United Kingdom"
"356","490218",40151.5083333333,67.68,"United Kingdom"
"357","490219",40151.5097222222,155.65,"United Kingdom"
"358","490229",40151.5138888889,1185.16,"United Kingdom"
"359","490247",40151.5194444444,351.3,"United Kingdom"
"360","490258",40151.5215277778,20.4,"United Kingdom"
"361","490266",40151.5229166667,231.2,"United Kingdom"
"362","490272",40151.525,521.38,"United Kingdom"
"363","490277",40151.5256944444,1077.6,"United Kingdom"
"364","490279",40151.5256944444,317.83,"United Kingdom"
"365","490281",40151.5256944444,311.2,"United Kingdom"
"366","490282",40151.5284722222,107.95,"United Kingdom"
"367","490284",40151.5375,439.46,"United Kingdom"
"368","490286",40151.5409722222,762.1,"United Kingdom"
"369","490285",40151.5409722222,373.74,"United Kingdom"
"370","490287",40151.5416666667,367.1,"United Kingdom"
"371","490288",40151.5416666667,332.16,"United Kingdom"
"372","490289",40151.5423611111,273.75,"United Kingdom"
"373","490290",40151.55625,164.03,"United Kingdom"
"374","490291",40151.5569444444,424.03,"United Kingdom"
"375","490292",40151.5576388889,460.55,"United Kingdom"
"376","490293",40151.5631944444,137.4,"United Kingdom"
"377","490294",40151.5701388889,378.96,"United Kingdom"
"378","490295",40151.5743055556,435.88,"Spain"
"379","490297",40151.5826388889,694.2,"United Kingdom"
"380","490298",40151.5923611111,1523.2,"United Kingdom"
"381","490299",40151.5930555556,621.22,"United Kingdom"
"382","490300",40151.5965277778,260.64,"United Kingdom"
"383","490301",40151.6,345.27,"United Kingdom"
"384","490302",40151.6034722222,303.62,"United Kingdom"
"385","490303",40151.60625,106.25,"United Kingdom"
"386","490304",40151.6076388889,843.01,"United Kingdom"
"387","490305",40151.6090277778,726.57,"United Kingdom"
"388","490308",40151.6194444444,194.53,"United Kingdom"
"389","490310",40151.6222222222,231.9,"United Kingdom"
"390","490311",40151.6326388889,307.65,"United Kingdom"
"391","490312",40151.6361111111,326.13,"United Kingdom"
"392","490313",40151.6375,137.95,"United Kingdom"
"393","490320",40151.6430555556,867.89,"United Kingdom"
"394","490323",40151.64375,236.69,"United Kingdom"
"395","490324",40151.64375,672,"United Kingdom"
"396","490326",40151.6444444444,149.1,"United Kingdom"
"397","490327",40151.6451388889,990,"United Kingdom"
"398","490331",40151.6458333333,298.99,"United Kingdom"
"399","490340",40151.6527777778,630.39,"United Kingdom"
"400","490341",40151.6534722222,334.65,"United Kingdom"
"401","490342",40151.6548611111,130.8,"United Kingdom"
"402","490346",40151.675,216.6,"United Kingdom"
"403","490347",40151.6756944444,109.4,"United Kingdom"
"404","490349",40151.6826388889,32.25,"United Kingdom"
"405","490353",40151.6923611111,532.28,"United Kingdom"
"406","490355",40151.69375,538.11,"United Kingdom"
"407","490356",40151.6979166667,117.13,"United Kingdom"
"408","490360",40151.7027777778,126.8,"United Kingdom"
"409","490359",40151.7027777778,59.5,"United Kingdom"
"410","490362",40151.7298611111,220.9,"United Kingdom"
"411","490363",40152.4243055556,138.24,"United Kingdom"
"412","490364",40152.4340277778,103.95,"United Kingdom"
"413","490365",40152.4354166667,351.6,"United Kingdom"
"414","490366",40152.4381944444,227.25,"United Kingdom"
"415","490367",40152.4472222222,79.6,"United Kingdom"
"416","490368",40152.4569444444,159.1,"United Kingdom"
"417","490369",40152.4715277778,230.2,"United Kingdom"
"418","490370",40152.5006944444,452.95,"United Kingdom"
"419","490371",40152.5013888889,233.71,"United Kingdom"
"420","490372",40152.5090277778,434.15,"United Kingdom"
"421","490373",40152.5194444444,502.54,"United Kingdom"
"422","490374",40152.525,136.75,"United Kingdom"
"423","490375",40152.5291666667,350.55,"United Kingdom"
"424","490376",40152.55,796.55,"United Kingdom"
"425","490377",40152.5506944444,15,"United Kingdom"
"426","490378",40152.5534722222,224.1,"United Kingdom"
"427","490380",40152.5597222222,478.74,"United Kingdom"
"428","490381",40152.5618055556,97.11,"United Kingdom"
"429","490382",40152.5638888889,760.69,"Cyprus"
"430","490383",40152.5673611111,148.3,"United Kingdom"
"431","490385",40152.61875,130.32,"United Kingdom"
"432","490386",40152.6229166667,549.77,"United Kingdom"
"433","490387",40152.6243055556,450.84,"United Kingdom"
"434","490388",40152.625,146.62,"United Kingdom"
"435","490389",40152.6375,689.5,"United Kingdom"
"436","490390",40152.6430555556,256.2,"United Kingdom"
"437","490391",40152.64375,304.1,"United Kingdom"
"438","490392",40152.6576388889,203.32,"United Kingdom"
"439","490393",40152.6673611111,281.02,"United Kingdom"
"440","490394",40152.6673611111,870.28,"United Kingdom"
"441","490395",40153.4277777778,283.15,"Germany"
"442","490396",40153.4347222222,269.15,"United Kingdom"
"443","490397",40153.4375,309.1,"Belgium"
"444","490398",40153.4423611111,567.71,"United Kingdom"
"445","490399",40153.4430555556,441.63,"United Kingdom"
"446","490400",40153.4451388889,689.9,"United Kingdom"
"447","490401",40153.4520833333,139.25,"United Kingdom"
"448","490403",40153.4673611111,316.74,"United Kingdom"
"449","490404",40153.4770833333,188.69,"United Kingdom"
"450","490405",40153.4770833333,260.65,"United Kingdom"
"451","490408",40153.48125,413.44,"United Kingdom"
"452","490430",40153.4895833333,253.55,"United Kingdom"
"453","490458",40153.4979166667,817.44,"France"
"454","490459",40153.4986111111,950.69,"United Kingdom"
"455","490461",40153.5048611111,720.79,"United Kingdom"
"456","490463",40153.5069444444,305.5,"United Kingdom"
"457","490464",40153.5069444444,118.26,"United Kingdom"
"458","490465",40153.5097222222,933.35,"United Kingdom"
"459","490466",40153.5111111111,183.6,"United Kingdom"
"460","490467",40153.5118055556,280.94,"United Kingdom"
"461","490468",40153.5145833333,204.24,"United Kingdom"
"462","490470",40153.5180555556,242.96,"United Kingdom"
"463","490472",40153.5194444444,619.24,"United Kingdom"
"464","490471",40153.5194444444,212.13,"United Kingdom"
"465","490473",40153.5215277778,204.65,"United Kingdom"
"466","490474",40153.5236111111,748.42,"United Kingdom"
"467","490476",40153.5236111111,211.62,"United Kingdom"
"468","490477",40153.5284722222,533.14,"United Kingdom"
"469","490479",40153.5291666667,1450.2,"United Kingdom"
"470","490478",40153.5291666667,302.5,"United Kingdom"
"471","490481",40153.5354166667,21.25,"United Kingdom"
"472","490482",40153.5361111111,289.3,"United Kingdom"
"473","490483",40153.5361111111,132.4,"United Kingdom"
"474","490484",40153.5368055556,186.6,"United Kingdom"
"475","490485",40153.5388888889,125.94,"United Kingdom"
"476","490486",40153.5416666667,90,"United Kingdom"
"477","490487",40153.5451388889,81.3,"United Kingdom"
"478","490488",40153.5465277778,647.82,"United Kingdom"
"479","490489",40153.5472222222,266.19,"United Kingdom"
"480","490490",40153.5486111111,547.73,"United Kingdom"
"481","490491",40153.5548611111,175.2,"United Kingdom"
"482","490493",40153.55625,12.75,"United Kingdom"
"483","490494",40153.5618055556,192.27,"United Kingdom"
"484","490496",40153.5694444444,671.56,"United Kingdom"
"485","490499",40153.5729166667,406.7,"United Kingdom"
"486","490500",40153.575,355.13,"United Kingdom"
"487","490501",40153.5756944444,285.64,"United Kingdom"
"488","490502",40153.5784722222,101.4,"United Kingdom"
"489","490503",40153.5833333333,582.12,"United Kingdom"
"490","490504",40153.5854166667,391.92,"United Kingdom"
"491","490505",40153.5875,98.16,"United Kingdom"
"492","490506",40153.5902777778,25.46,"United Kingdom"
"493","490508",40153.5930555556,450.84,"United Kingdom"
"494","490511",40153.6152777778,626.6,"United Kingdom"
"495","490512",40153.6208333333,235.13,"United Kingdom"
"496","490514",40153.6256944444,137.75,"United Kingdom"
"497","490515",40153.6305555556,147.4,"United Kingdom"
"498","490516",40153.63125,504.54,"United Kingdom"
"499","490518",40153.6333333333,474.32,"United Kingdom"
"500","490519",40153.6354166667,213.65,"United Kingdom"
"501","490521",40153.6416666667,235.84,"United Kingdom"
"502","490522",40153.6465277778,150.4,"United Kingdom"
"503","490524",40153.6493055556,436.18,"United Kingdom"
"504","490525",40153.6527777778,255,"United Kingdom"
"505","490526",40153.6534722222,533.97,"United Kingdom"
"506","490527",40153.6569444444,182.01,"United Kingdom"
"507","490528",40153.6583333333,118.25,"United Kingdom"
"508","490529",40153.6604166667,48.89,"United Kingdom"
"509","490530",40153.6673611111,161.8,"United Kingdom"
"510","490531",40153.6680555556,166.95,"United Kingdom"
"511","490533",40153.6715277778,378.05,"United Kingdom"
"512","490534",40153.6784722222,263.68,"United Kingdom"
"513","490535",40154.3423611111,560.58,"United Kingdom"
"514","490536",40154.35,221.9,"United Kingdom"
"515","490537",40154.3701388889,209.41,"United Kingdom"
"516","490538",40154.3847222222,504.54,"United Kingdom"
"517","490539",40154.3875,346,"United Kingdom"
"518","490542",40154.4041666667,716.35,"EIRE"
"519","490545",40154.4270833333,34,"United Kingdom"
"520","490547",40154.43125,311.2,"United Kingdom"
"521","490548",40154.4347222222,504.54,"United Kingdom"
"522","490557",40154.4395833333,463,"United Kingdom"
"523","490561",40154.4430555556,41.3,"United Kingdom"
"524","490563",40154.4451388889,808.12,"Germany"
"525","490564",40154.4458333333,367.9,"Germany"
"526","490569",40154.45,411.2,"United Kingdom"
"527","490577",40154.4520833333,187.19,"United Kingdom"
